bandit,reward,algorithm
4,3.3523637816930307,thompson-sampling
4,3.393142519890725,thompson-sampling
4,5.430199630901022,thompson-sampling
4,3.559624147981617,thompson-sampling
4,4.448474236055785,thompson-sampling
4,3.030985068194469,thompson-sampling
4,5.787245611964359,thompson-sampling
4,4.107293862190902,thompson-sampling
4,4.292119569708012,thompson-sampling
4,3.6078694963529907,thompson-sampling
4,2.701014689336759,thompson-sampling
4,2.3124159213560613,thompson-sampling
4,3.920987764546676,thompson-sampling
4,4.695408716122673,thompson-sampling
4,3.548189311845428,thompson-sampling
4,4.689447280267679,thompson-sampling
4,5.516242984146486,thompson-sampling
4,5.2485443030971535,thompson-sampling
4,4.663980742486514,thompson-sampling
4,4.253105901248391,thompson-sampling
4,5.43223236530323,thompson-sampling
4,3.82267707749127,thompson-sampling
4,4.1674891378349725,thompson-sampling
4,3.6168840482932834,thompson-sampling
4,3.8304791786213075,thompson-sampling
4,3.8462683428798403,thompson-sampling
4,4.313855015536992,thompson-sampling
4,3.535891759011505,thompson-sampling
4,5.924792123734164,thompson-sampling
4,4.562561797857049,thompson-sampling
4,3.7469572900485737,thompson-sampling
4,5.240825345681387,thompson-sampling
4,4.115722350277992,thompson-sampling
4,5.256096696049503,thompson-sampling
4,1.3751648828996146,thompson-sampling
4,2.2154848030569054,thompson-sampling
4,4.551495156605019,thompson-sampling
4,5.192034493236062,thompson-sampling
4,3.7137486832580544,thompson-sampling
4,4.601006770944212,thompson-sampling
4,4.50266027022929,thompson-sampling
4,4.215991399396042,thompson-sampling
4,4.159840625562548,thompson-sampling
4,3.0420425443173476,thompson-sampling
4,5.55556401514515,thompson-sampling
4,4.2057214713856395,thompson-sampling
4,4.760473631660428,thompson-sampling
4,4.661002677668433,thompson-sampling
4,3.9374232181685063,thompson-sampling
4,2.5073806510421957,thompson-sampling
4,4.611766959988091,thompson-sampling
4,4.0111520382964745,thompson-sampling
4,3.8704477086028204,thompson-sampling
4,4.072956139255369,thompson-sampling
4,2.995328961674206,thompson-sampling
4,3.416251770606987,thompson-sampling
4,6.267106605492742,thompson-sampling
4,5.728168358114025,thompson-sampling
4,4.128824189802566,thompson-sampling
4,4.70890221847506,thompson-sampling
4,3.5002327315253887,thompson-sampling
4,1.7420385569298542,thompson-sampling
4,2.937581181889114,thompson-sampling
4,4.894223312944835,thompson-sampling
4,4.06954515192651,thompson-sampling
4,2.1592889870812195,thompson-sampling
4,4.308301219247717,thompson-sampling
4,4.44043610434894,thompson-sampling
4,3.156541683109314,thompson-sampling
4,2.3315337935172824,thompson-sampling
4,4.182238595880359,thompson-sampling
4,5.137783035548431,thompson-sampling
4,2.651483894167853,thompson-sampling
4,3.1395552424534863,thompson-sampling
4,5.698006838457829,thompson-sampling
4,2.716663236639492,thompson-sampling
4,5.952953245491176,thompson-sampling
4,5.431440986126079,thompson-sampling
4,5.11879868049902,thompson-sampling
4,2.7760334790888535,thompson-sampling
4,3.150849469281097,thompson-sampling
4,3.9743833493566476,thompson-sampling
4,3.439054860800147,thompson-sampling
4,4.0236446281497384,thompson-sampling
4,2.9984812302861084,thompson-sampling
4,4.5858962649410815,thompson-sampling
4,4.716731874948858,thompson-sampling
4,4.376919308251708,thompson-sampling
4,4.751862258959231,thompson-sampling
4,5.060370321969645,thompson-sampling
4,4.4310660757035905,thompson-sampling
4,3.7350970096452842,thompson-sampling
4,3.193945457135053,thompson-sampling
4,3.9499164787937184,thompson-sampling
4,5.82738982040397,thompson-sampling
4,5.711846656874954,thompson-sampling
4,4.749939906875009,thompson-sampling
4,5.340980167625284,thompson-sampling
4,4.60106144712424,thompson-sampling
4,3.094788765859164,thompson-sampling
4,4.370088348430768,thompson-sampling
